"DEPARTMENTID","DEPARTMENTNAME","COURSENAME"
"D01","Computer Science and Engineering","Database Management Systems"
"D01","Computer Science and Engineering","Data Structures and Algorithms"
"D01","Computer Science and Engineering","Artificial Intelligence"
"D01","Computer Science and Engineering","Operating Systems"
"D03","Civil Engineering","Structural Analysis"
"D03","Civil Engineering","Geotechnical Engineering"
"D03","Civil Engineering","Environmental Engineering"
"D04","Electrical and Electronics Engineering","Power Systems"
"D04","Electrical and Electronics Engineering","Control Systems"
"D04","Electrical and Electronics Engineering","Electrical Machines"
